panchayat_id,panchayat_name,test_rows,baseline_mae,baseline_rmse,baseline_bias,ml_mae,ml_rmse,ml_bias
P01,Baburdi,122,2.7458,7.9721,-0.313,2.2043,5.4429,-0.2287
P02,Dorlewadi,122,2.6952,8.1546,-0.6024,2.5473,6.0769,-0.2246
P03,Gojubavi,122,2.4493,6.5061,-0.6302,2.2968,5.5207,-0.5017
P04,Gunwadi,122,2.6952,8.1546,-0.6024,2.5477,6.0898,-0.2156
P05,Hol,122,2.654,7.4785,-0.4032,2.4079,5.7976,0.1379
P06,Katewadi,122,2.7127,8.3895,-0.4417,2.4931,6.2022,-0.1006
P07,Katphal,122,2.5907,7.5944,-0.6261,2.3994,5.7458,-0.5338
P08,Khandaj,122,2.7643,8.1735,-0.7212,2.5216,6.5956,-0.2345
P09,Korhale Bk,122,2.8378,8.3229,-0.5581,2.5082,6.3192,-0.0466
P10,Malegaon Bk,122,2.7643,8.1735,-0.7212,2.52,6.6114,-0.2378
P11,Rui,122,2.765,7.6487,-0.6532,2.504,5.8283,-0.462
P12,Shirsuphal,122,2.6758,7.783,-0.604,2.5966,5.9532,-0.3645
P13,Songaon,122,2.7127,8.3895,-0.4417,2.5031,6.2358,-0.1157
P14,Vadgaon Nimbalkar,122,2.7996,8.8164,-0.4573,2.5059,6.7053,0.0302
