panchayat_id,panchayat_name,test_observations,baseline_mae,ml_mae,abs_mae_difference,mae_reduction,baseline_rmse,ml_rmse,baseline_bias,ml_bias
P01,Baburdi,122,2.7458,2.2043,0.5415,0.5415,7.9721,5.4429,-0.313,-0.2287
P02,Dorlewadi,122,2.6952,2.5473,0.1479,0.1479,8.1546,6.0769,-0.6024,-0.2246
P03,Gojubavi,122,2.4493,2.2968,0.1525,0.1525,6.5061,5.5207,-0.6302,-0.5017
P04,Gunwadi,122,2.6952,2.5477,0.1475,0.1475,8.1546,6.0898,-0.6024,-0.2156
P05,Hol,122,2.654,2.4079,0.2461,0.2461,7.4785,5.7976,-0.4032,0.1379
P06,Katewadi,122,2.7127,2.4931,0.2196,0.2196,8.3895,6.2022,-0.4417,-0.1006
P07,Katphal,122,2.5907,2.3994,0.1913,0.1913,7.5944,5.7458,-0.6261,-0.5338
P08,Khandaj,122,2.7643,2.5216,0.2427,0.2427,8.1735,6.5956,-0.7212,-0.2345
P09,Korhale Bk,122,2.8378,2.5082,0.3296,0.3296,8.3229,6.3192,-0.5581,-0.0466
P10,Malegaon Bk,122,2.7643,2.52,0.2443,0.2443,8.1735,6.6114,-0.7212,-0.2378
P11,Rui,122,2.765,2.504,0.261,0.261,7.6487,5.8283,-0.6532,-0.462
P12,Shirsuphal,122,2.6758,2.5966,0.0792,0.0792,7.783,5.9532,-0.604,-0.3645
P13,Songaon,122,2.7127,2.5031,0.2096,0.2096,8.3895,6.2358,-0.4417,-0.1157
P14,Vadgaon Nimbalkar,122,2.7996,2.5059,0.2937,0.2937,8.8164,6.7053,-0.4573,0.0302
